,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
0,102444,Safe and Comfortable apartment,535515,Joel,Joel,La Florida,-33.55981,-70.55494,Shared room,70443,1,0,No_reviews,0.0,1,365,0,Unknown
1,49392,Share my Flat in Providencia,224592,Maria,Maria,Providencia,-33.43266,-70.60072,Private room,46669,3,0,No_reviews,0.0,2,178,0,Unknown
2,24225724,ARRIENDO PIEZA EN CHICUREO,156055914,Juan Manuel,Juan Manuel,Quilicura,-33.30319,-70.69612,Private room,18357,5,0,No_reviews,0.0,1,179,0,Unknown
3,25352401,Casa nicolas,190475718,Nicolas,Nicolas,La Pintana,-33.59622,-70.67131,Private room,10000,1,0,No_reviews,0.0,1,89,0,14824
4,33305262,Habitación con baño privado,250854540,Matias,Matias,La Florida,-33.56327,-70.55508,Private room,11500,1,1,2019-04-02,0.03,1,360,0,Unknown
5,1618821,Room for rent in shared apartment.,8439302,Veronica Maria,Veronica Maria,La Florida,-33.58357,-70.58625,Private room,22013,7,0,No_reviews,0.0,1,365,0,Unknown
6,11253705,"Habitación cómoda, lugar seguro .",58353795,Sra.Rosa,Sra.Rosa,La Pintana,-33.59979,-70.59242,Private room,52832,1,0,No_reviews,0.0,1,365,0,Unknown
7,40707516,Lofts lugar exclusivo vista privilegiada Chicureo,280222105,Roxana,Roxana,Quilicura,-33.31922,-70.69587,Entire home/apt,70714,3,22,2022-03-22,0.73,3,17,14,Unknown
8,31726393,Casa en puente alto,221867728,Andres,Andres,La Florida,-33.56436,-70.56819,Entire home/apt,50000,1,0,No_reviews,0.0,1,179,0,Unknown
9,47800065,Parcela con piscina y casa para descanso,383362006,German,German,Maipú,-33.5768,-70.78,Entire home/apt,150000,4,5,2021-07-18,0.3,1,89,1,Unknown
10,1805957,Cool apartment in Providencia,9461713,Mauro,Mauro,Providencia,-33.43054,-70.61197,Entire home/apt,79248,15,0,No_reviews,0.0,1,347,0,Unknown
11,513333,Private room in Metro Colon,55685236,María José,María José,Providencia,-33.42918,-70.59036,Private room,15000,1,71,2019-11-03,0.64,1,172,0,Unknown
12,529207,Gran Casa Hermosa vista la mejor !!,2294459,Cristian,Cristian,Peñalolén,-33.47721,-70.52016,Private room,528323,5,0,No_reviews,0.0,1,365,0,Unknown
13,533042,"Hola, Ven a conocer Santiago!",2619406,Cristian,Cristian,Providencia,-33.42845,-70.61774,Entire home/apt,39624,3,122,2022-05-14,1.8,1,132,17,Unknown
14,1806658,Room  Bellavista Neighbourhood,9468386,Victoria,Victoria,Recoleta,-33.42466,-70.64047,Private room,22894,2,0,No_reviews,0.0,1,362,0,Unknown
15,1810705,Tu Mejor Elección Santiago Centro,1884403,Ariel,Ariel,Santiago,-33.45175,-70.64049,Private room,22013,2,7,2015-01-14,0.07,1,141,0,Unknown
16,1854958,2do piso casa en Las Condes,9682413,Felipe,Felipe,Las Condes,-33.40346,-70.54718,Private room,44027,1,0,No_reviews,0.0,1,365,0,Unknown
17,1864347,"Private room Plaza las Lilas, 2 blocks to metro",9721704,Monica,Monica,Providencia,-33.42853,-70.59434,Private room,22000,3,0,No_reviews,0.0,1,363,0,Unknown
18,1873527,Furnished apartment in Stgo Center,9762063,Arriendo,Arriendo,Santiago,-33.4528,-70.65521,Entire home/apt,39624,4,5,2018-03-08,0.05,1,365,0,Unknown
19,1886495,Excelente departamento Las Condes,851098,Maria Isabel,Maria Isabel,Las Condes,-33.41918,-70.56866,Private room,37126,1,0,No_reviews,0.0,1,365,0,Unknown
20,52811,Suite Providencia 1 Santiago Chile,244792,Cristián,Cristián,Providencia,-33.42959,-70.6188,Entire home/apt,47549,1,46,2021-11-04,0.33,3,172,1,Unknown
21,53494,depto centro ski el colorado chile,249097,Paulina,Paulina,Lo Barnechea,-33.34344,-70.29432,Entire home/apt,149999,2,38,2021-05-22,0.52,1,264,0,Unknown
22,1892699,Habitación Individual Disponible,9838063,Rossana,Rossana,Santiago,-33.43855,-70.64371,Private room,69184,3,0,No_reviews,0.0,1,365,0,Unknown
23,65058,Dpto amoblado centro historico,318016,Patricio,Patricio,Recoleta,-33.43049,-70.64135,Private room,52832,2,0,No_reviews,0.0,1,365,0,Unknown
24,73752,Barrio Lastarria,374124,Daniela&Ricardo,Daniela&Ricardo,Santiago,-33.43868,-70.64414,Private room,70443,3,0,No_reviews,0.0,1,365,0,Unknown
25,533257,Heart of Santiago: Bellas Artes Apt,2620569,Jessica,Jessica,Santiago,-33.43615,-70.64867,Private room,52832,2,0,No_reviews,0.0,1,365,0,Unknown
26,558026,"Vista Cordillera de los Andes, Providencia",2743887,Marcia,Marcia,Providencia,-33.43451,-70.62698,Entire home/apt,37895,2,20,2022-06-13,0.23,1,317,14,Unknown
27,559852,Deluxe 2 Bedrooms Apartment,2752180,Marcos,Marcos,Providencia,-33.42649,-70.61571,Entire home/apt,96859,2,12,2019-07-14,0.14,7,264,0,Unknown
28,564038,DEPARTAMENTO EN BARRIO BELLAS ARTES,2773531,Betty,Betty,Santiago,-33.43811,-70.64547,Entire home/apt,74846,2,1,2013-11-27,0.01,1,365,0,Unknown
29,566139,"Comodo Departamento, Mejor Sector Providencia",2784499,Betzabe,Betzabe,Providencia,-33.4262,-70.61853,Entire home/apt,57235,3,198,2022-05-30,1.65,2,320,19,Unknown
30,583154,Room in downtown close to metro,2872968,Jaime,Jaime,Santiago,-33.45592,-70.63256,Private room,44027,1,0,No_reviews,0.0,1,365,0,Unknown
31,600739,2 Bedrooms Apartments (MH),2752180,Marcos,Marcos,Providencia,-33.42492,-70.61605,Entire home/apt,96859,2,22,2018-07-18,0.26,7,264,0,Unknown
32,600741,1 Bedroom Apartments (ML),2752180,Marcos,Marcos,Providencia,-33.42462,-70.61619,Entire home/apt,61638,2,9,2017-02-28,0.11,7,169,0,Unknown
33,609532,"Cacao Apartament, SANTIAGO",3022172,Andrea,Andrea,Santiago,-33.43799,-70.6481,Private room,70443,1,0,No_reviews,0.0,3,365,0,Unknown
34,622498,Amazing !! Apartment Las Condes 01,3085810,Luis Hernan,Luis Hernan,Las Condes,-33.41263,-70.58843,Entire home/apt,96859,4,28,2021-03-20,0.23,3,48,0,Unknown
35,643936,"CACAO MINT, SANTIAGO",3022172,Andrea,Andrea,Santiago,-33.43721,-70.64889,Private room,70443,3,0,No_reviews,0.0,3,365,0,Unknown
36,1898234,Excelente Depa en Plaza Ñuñoa Chile,9860458,Patricia,Patricia,Ñuñoa,-33.45542,-70.60443,Entire home/apt,88054,3,0,No_reviews,0.0,1,358,0,Unknown
37,80482,Room Private for Woman,154527,Jacqueline,Jacqueline,La Florida,-33.51918,-70.59149,Private room,22276,2,0,No_reviews,0.0,1,364,0,Unknown
38,83677,Loft in Pocuro,456388,Keno,Keno,Providencia,-33.43159,-70.59202,Entire home/apt,127678,1,0,No_reviews,0.0,1,365,0,Unknown
39,1905521,4 Bed/2 Bath  Parque Arauco Mall,9890877,Fernando,Fernando,Vitacura,-33.39871,-70.57523,Entire home/apt,87173,3,164,2022-06-04,1.58,1,302,14,Unknown
40,88944,COZY APT. PROVIDENCIA METRO WIFI TV,485358,Macarena,Macarena,Providencia,-33.4222,-70.60846,Entire home/apt,30819,3,167,2022-05-31,1.29,1,250,8,Unknown
41,643967,"CACAO CHERRY, SANTIAGO CENTER",3022172,Andrea,Andrea,Santiago,-33.43602,-70.64886,Private room,70443,1,0,No_reviews,0.0,3,365,0,Unknown
42,656930,Spacious shared room Providencia,619256,Rodrigo,Rodrigo,Providencia,-33.41866,-70.61127,Private room,35000,1,3,2021-12-12,0.23,5,365,2,Unknown
43,1906152,Habitación en Acogedor Departamento_Plaza Ñuñoa,1139234,Paula,Paula,Ñuñoa,-33.45728,-70.59157,Private room,17611,1,16,2022-01-31,0.22,1,356,4,Unknown
44,90629,Hermoso departamento individual,491051,Marcy-Lú,Marcy-Lú,Santiago,-33.43787,-70.64082,Entire home/apt,88054,3,0,No_reviews,0.0,1,365,0,Unknown
45,1914509,HAB.INDEPENDIENTE CON BAÑO Y ESTAR.,9930439,Ana,Ana,Las Condes,-33.4197,-70.55696,Private room,35222,7,0,No_reviews,0.0,1,365,0,Unknown
46,90694,Apartment x Rent in Providencia 802,491253,Hector,Hector,Providencia,-33.4259,-70.61692,Entire home/apt,39999,3,60,2022-05-15,0.45,4,348,3,Unknown
47,668257,"view of the Andes, best located!",2645138,Maria,Maria,Las Condes,-33.41795,-70.58175,Entire home/apt,105665,14,19,2022-05-28,0.16,1,358,1,Unknown
48,1932045,Apart-Hotel Latino--hermosos & muy cómodos deptos.,10001202,Marcia,Marcia,Providencia,-33.43461,-70.62498,Entire home/apt,37962,1,18,2020-11-08,0.18,1,294,0,Unknown
49,90769,New & Warm Apartment in Providencia,491253,Hector,Hector,Providencia,-33.42864,-70.62178,Entire home/apt,39000,4,12,2013-03-20,0.09,4,172,0,Unknown
50,1936528,"Departamento Santiago Centro, a minutos del centro",10019352,Daniel,Daniel,Santiago,-33.4467,-70.64625,Entire home/apt,44027,2,0,No_reviews,0.0,1,365,0,Unknown
51,91083,INFI Santiago: Bellas Artes- Bellavista- Lastarria,492663,JuanKa,JuanKa,Santiago,-33.43901,-70.64463,Entire home/apt,39624,3,126,2017-07-17,0.98,3,60,0,Unknown
52,679753,Habitación doble con baño privado,619256,Rodrigo,Rodrigo,Providencia,-33.41773,-70.61102,Entire home/apt,45000,1,1,2013-04-09,0.01,5,365,0,Unknown
53,683664,"1 block U.Catolica, subway S.Lucia",3329548,Alojamiento Empresarial Chile,Alojamiento Empresarial Chile,Santiago,-33.44245,-70.64234,Entire home/apt,51952,90,5,2013-08-14,0.04,4,346,0,Unknown
54,725463,Costanera Center Apartment Santiago,3751231,Hernan,Hernan,Providencia,-33.41971,-70.60915,Entire home/apt,61638,2,3,2022-01-29,0.03,3,353,1,Unknown
55,726012,Opera Apartment Santiago Chile,3751231,Hernan,Hernan,Santiago,-33.44146,-70.6463,Entire home/apt,70443,2,11,2022-04-24,0.09,3,361,2,Unknown
56,1954924,Cozy furnished Apt. in Providencia,10104469,Paola,Paola,Providencia,-33.42659,-70.61543,Entire home/apt,48430,30,0,No_reviews,0.0,1,365,0,Unknown
57,734844,beautiful & comfy apartment Stgo,3832872,Claudia,Claudia,Santiago,-33.44481,-70.6339,Private room,19372,5,85,2022-05-18,0.75,1,365,2,Unknown
58,94147,"Great house in Santiago, Las Condes",493996,Abraham,Abraham,Las Condes,-33.39929,-70.54542,Private room,43146,1,2,2011-12-07,0.02,1,365,0,Unknown
59,1998362,City View High Rise Condo with Balcony,2136082,Francisca,Francisca,Las Condes,-33.41048,-70.59837,Entire home/apt,105665,3,12,2022-05-10,0.12,1,365,5,Unknown
60,95139,Room Family Home,506998,Rafael,Rafael,Santiago,-33.43665,-70.67835,Private room,62518,7,0,No_reviews,0.0,1,365,0,Unknown
61,748389,Room & Breakfast in Las Condes,3930966,Rodrigo,Rodrigo,Las Condes,-33.42271,-70.57536,Private room,44027,2,0,No_reviews,0.0,1,365,0,Unknown
62,2030023,Furnished Apartment Barrio Italia,10425066,Josué,Josué,Providencia,-33.44409,-70.6189,Private room,14969,30,5,2017-02-20,0.06,2,55,0,Unknown
