,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
0,826691.0,Suite 7 - Suites Condesa Mexico,4326326,Rodrigo,Unknown,CuauhtÃ©moc,19.40915,-99.17321,Entire home/apt,850.0,180.0,18.0,11/05/2019,0.17,6.0,325.0,0.0
1,35797.0,Villa Dante,153786,Dici,Unknown,Cuajimalpa de Morelos,19.38283,-99.27178,Entire home/apt,4056.0,1.0,0.0,No_reviews,0.0,1.0,363.0,0.0
3,826760.0,Suite 12 - Suites Condesa Mexico,4326326,Rodrigo,Unknown,CuauhtÃ©moc,19.40915,-99.17321,Entire home/apt,971.0,4.0,17.0,15/03/2020,0.15,6.0,203.0,0.0
4,44616.0,CONDESA HAUS  B&B,196253,Condesa Haus Bed & Breakfast  CDMX,Unknown,CuauhtÃ©moc,19.41162,-99.17794,Entire home/apt,18000.0,1.0,56.0,05/06/2022,0.43,11.0,347.0,7.0
5,828714.0,Apartment with Internet & 2 cable TV's,4344353,Miriam,Unknown,CoyoacÃ¡n,19.34183,-99.15533,Entire home/apt,608.0,1.0,25.0,21/05/2018,0.36,1.0,140.0,0.0
11,56074.0,Great space in historical San Rafael,265650,Maris,Unknown,CuauhtÃ©moc,19.43977,-99.15605,Entire home/apt,650.0,2.0,72.0,19/06/2022,0.53,2.0,344.0,14.0
13,2056622.0,CÃ³modo y espacioso loft en CoyoacÃ¡n,10531228,Maria,Unknown,CoyoacÃ¡n,19.35585,-99.16315,Entire home/apt,1602.0,2.0,13.0,03/09/2019,0.19,3.0,290.0,0.0
16,58955.0,Entire beautiful duplex in la Roma,282620,Laura,Unknown,CuauhtÃ©moc,19.42113,-99.15955,Entire home/apt,2019.0,7.0,45.0,06/01/2022,0.35,1.0,351.0,3.0
20,868986.0,Business Suite BLUE near Reforma Av,3850198,Unknown,Unknown,CuauhtÃ©moc,19.4306,-99.17074,Entire home/apt,1010.0,2.0,19.0,11/03/2022,0.17,10.0,362.0,1.0
22,2072354.0,Coyoacan Historic Studio Apartment,16840050,MÃ³nica,Unknown,CoyoacÃ¡n,19.35358,-99.16948,Entire home/apt,900.0,3.0,60.0,09/11/2019,0.58,2.0,320.0,0.0
23,883511.0,Cozy House with Roofterrace group 29 pax Center DF,3777702,Abraham,Unknown,CuauhtÃ©moc,19.44207,-99.14797,Entire home/apt,2827.0,1.0,209.0,06/06/2022,1.83,6.0,249.0,27.0
24,2075738.0,Amazing apartment Mexico City!!!,2339771,Rodrigo,Unknown,CuauhtÃ©moc,19.41909,-99.16043,Entire home/apt,2827.0,2.0,65.0,23/05/2022,0.64,1.0,299.0,17.0
25,67703.0,"2 bedroom apt. deco bldg, Condesa",334451,Nicholas,Unknown,CuauhtÃ©moc,19.41152,-99.16857,Entire home/apt,1918.0,4.0,42.0,19/05/2022,0.33,2.0,325.0,3.0
26,898633.0,"1 bedroom apt BEST location, BALCONY, ROOFTOP 50Mb",4796027,Marco,Unknown,CuauhtÃ©moc,19.42063,-99.16586,Entire home/apt,1817.0,2.0,51.0,24/12/2021,0.45,2.0,350.0,2.0
27,70644.0,Beautiful light Studio Coyoacan- full equipped !,212109,Trisha,Unknown,CoyoacÃ¡n,19.35448,-99.16217,Entire home/apt,1197.0,7.0,112.0,20/06/2022,0.89,3.0,153.0,8.0
28,107078.0,NEW  DESIGNER LOFT,540705,Andrea,Unknown,Miguel Hidalgo,19.43211,-99.19327,Entire home/apt,3796.0,4.0,10.0,05/10/2019,0.14,3.0,208.0,0.0
30,913084.0,15 blocks from Paseo de la Reforma,4647293,Martina,Unknown,Miguel Hidalgo,19.43956,-99.17263,Entire home/apt,2057.0,2.0,139.0,13/06/2022,1.25,2.0,180.0,27.0
31,165772.0,BEST 4BR 4 BH HOUSE IN S. MIGUEL CHAPULTEPEC,790208,Maria Jose,Unknown,Miguel Hidalgo,19.40826,-99.18659,Entire home/apt,3837.0,2.0,278.0,30/05/2022,2.09,6.0,231.0,8.0
32,2083241.0,Condesa Apartment in 1920s Landmarked Art Nouveau Mansion,8282570,Thomas,Unknown,CuauhtÃ©moc,19.4153,-99.16763,Entire home/apt,1600.0,3.0,246.0,04/06/2022,2.62,3.0,140.0,41.0
33,939721.0,Radiant Apartment with Terrace in Roma Norte,4821807,Alex,Unknown,CuauhtÃ©moc,19.42288,-99.15488,Entire home/apt,1572.0,3.0,458.0,06/06/2022,4.09,4.0,171.0,49.0
35,997247.0,NEW! HISTORIC BUILDING -BEST STREET,5479592,Lorenzo,Unknown,CuauhtÃ©moc,19.41434,-99.15857,Entire home/apt,1921.0,2.0,394.0,30/05/2022,3.56,1.0,327.0,34.0
36,2084093.0,5 min from CDMXÂ´s airport,10644799,Benito,Unknown,Venustiano Carranza,19.43949,-99.08769,Entire home/apt,446.0,1.0,562.0,28/05/2022,5.92,6.0,354.0,24.0
40,180808.0,"Huge Luxurious Suite 70's style, perfectly located",36836,Roberto,Unknown,CuauhtÃ©moc,19.4239,-99.1689,Entire home/apt,1503.0,3.0,38.0,02/04/2022,0.31,1.0,323.0,1.0
41,187030.0,Spacious apt with the best rooftop in Condesa,899360,Julian,Unknown,CuauhtÃ©moc,19.41057,-99.1773,Entire home/apt,2142.0,14.0,98.0,28/05/2022,0.76,6.0,171.0,1.0
42,187745.0,Extraordinarily Spacious Apt. in Condesa,899360,Julian,Unknown,CuauhtÃ©moc,19.41057,-99.1773,Entire home/apt,1817.0,2.0,24.0,03/01/2018,0.23,6.0,171.0,0.0
43,1011428.0,PLAZA DEL ARCÃNGEL EN SAN ÃNGEL,5307709,Rosa MarÃ­a,Unknown,Ãlvaro ObregÃ³n,19.34406,-99.19413,Entire home/apt,7099.0,7.0,17.0,02/01/2022,0.15,1.0,240.0,2.0
44,194937.0,Sunny & Fresh Apt. with best rooftop in Condesa,899360,Julian,Unknown,CuauhtÃ©moc,19.41057,-99.1773,Entire home/apt,2200.0,14.0,64.0,29/10/2019,0.5,6.0,179.0,0.0
