,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
14,865012.0,Business Suite RED near Reforma Av.,3850198,Hermann,Unknown,CoyoacÃ¡n,19.43078,-99.17011,Hotel room,1111.0,2.0,31.0,01/01/2022,0.27,10.0,356.0,0.0
17,865070.0,"Lovely comfortable room facing garden, Alcatraz",3991683,Leonora,Unknown,CoyoacÃ¡n,19.34424,-99.17095,Hotel room,608.0,3.0,9.0,20/08/2021,0.08,2.0,351.0,1.0
19,868843.0,Business Suite PURPLE near Reforma,3850198,Hermann,Unknown,CuauhtÃ©moc,19.43068,-99.17007,Hotel room,1010.0,2.0,41.0,16/04/2022,0.43,10.0,361.0,6.0
21,869063.0,Business Suite BLACK near Reforma,3850198,Hermann,Unknown,CuauhtÃ©moc,19.43052,-99.17003,Hotel room,1010.0,2.0,19.0,11/03/2022,0.24,10.0,355.0,1.0
71,281134.0,COOL PENT HOUSE APARTMENT @CONDESA,196253,Condesa Haus Bed & Breakfast  CDMX,Unknown,CuauhtÃ©moc,19.41108,-99.17634,Hotel room,2887.0,1.0,7.0,05/10/2019,0.08,11.0,198.0,0.0
152,1565220.0,Descansa en la Suite de la Abuelita San Angel CDMX,2518152,Martha Y Pancho,Unknown,Ãlvaro ObregÃ³n,19.34735,-99.19016,Hotel room,2900.0,1.0,23.0,02/06/2018,0.22,7.0,365.0,0.0
172,1736063.0,"CÃ³modo Estudio del BotÃ¡nico, San Angel CDMX",2518152,Martha Y Pancho,Unknown,Ãlvaro ObregÃ³n,19.34723,-99.19396,Hotel room,1800.0,1.0,35.0,22/05/2022,0.35,7.0,365.0,1.0
180,571166.0,MODERN/HIP FURNISHED APARTMENT ( S1 Condesa Haus),196253,Condesa Haus Bed & Breakfast  CDMX,Unknown,CuauhtÃ©moc,19.41346,-99.1775,Hotel room,2625.0,1.0,1.0,08/02/2019,0.02,11.0,32.0,0.0
237,737328.0,Business Suite BEIGE near Reforma,3850198,Hermann,Unknown,CuauhtÃ©moc,19.43059,-99.17073,Hotel room,1111.0,2.0,23.0,20/03/2022,0.2,10.0,362.0,1.0
242,757338.0,"5 rooms common areas, private residence",3991683,Leonora,Unknown,CoyoacÃ¡n,19.3454,-99.16951,Hotel room,3225.0,3.0,32.0,01/01/2020,0.28,2.0,358.0,0.0
