,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1,5.56931e+17,Venha passar uma pernoite em um veleiro na Urca!,198206849,Andréia,Unknown,Urca,-22.94781,-43.16351,Private room,280,1,1,19/02/2022,0.25,1,365,1,Unknown
2,1174007.0,100% Best View In Copa In Suite 2,3962758,Thiago Luiz,Unknown,Copacabana,-22.97277,-43.17966,Private room,107,2,177,07/06/2022,1.69,6,357,29,Unknown
3,8410797.0,Ipanema(Arpoador) 100mdo Mar/ Jan & Carnaval +Fev,42038091,Sheila,Unknown,Ipanema,-22.98871,-43.19334,Private room,1000,3,1,28/09/2017,0.02,3,362,0,Unknown
4,28053241.0,Navegar a  Bordo de um Veleiro Francês no Rio!,193860988,Luciano,Unknown,Urca,-22.95056,-43.17175,Private room,1850,2,0,No_reviews,0.0,1,180,0,Unknown
6,249842.0,"Copacabana, central e perto da praia",1309444,Sonia,Unknown,Copacabana,-22.96794,-43.18969,Private room,90,2,140,08/04/2022,1.12,3,6,14,Unknown
15,257618.0,"Great Dbl Bed/Pvt Bath, Leme, 1 min from the Sea",1355685,Jorge,Unknown,Leme,-22.96102,-43.16858,Private room,217,2,39,17/12/2018,0.31,2,241,0,Unknown
21,48726.0,Rio de Janeiro Copacabana Ipanema,221941,Vana,Unknown,Copacabana,-22.98528,-43.19264,Private room,100,3,43,30/05/2022,0.76,2,34,1,Unknown
36,272631.0,Comfort em Copacabana,1426830,Neyde,Unknown,Copacabana,-22.9675,-43.18666,Private room,119,2,24,31/05/2022,0.25,3,328,2,Unknown
45,273363.0,Lindo quarto sossegado para temporada,556738,Casa Da Carmen E,Unknown,Santa Teresa,-22.91825,-43.17872,Private room,150,3,4,04/12/2017,0.05,4,203,0,Unknown
50,273753.0,Beautiful room for students,556738,Casa Da Carmen E,Unknown,Santa Teresa,-22.91709,-43.18068,Private room,150,5,2,03/11/2016,0.02,4,248,0,Unknown
52,76300.0,"GREAT VIEW -Guesthouse ""CASA 48""- Santa Teresa  #1",406989,Casa 48 Guesthouse,Unknown,Santa Teresa,-22.92742,-43.19464,Private room,170,1,216,10/05/2022,1.72,6,361,1,Unknown
58,276986.0,Priv bed/bathroom w/ A/C near Ipanema beach subway,1446638,Daniel & Raquel,Unknown,Ipanema,-22.98126,-43.19943,Private room,155,3,10,15/08/2016,0.08,1,0,0,Unknown
60,277124.0,Beach and Mountain beauty in Rio!,72111,David,Unknown,São Conrado,-22.99804,-43.25947,Private room,470,2,12,14/08/2016,0.09,1,365,0,Unknown
63,86978.0,Room For a Rent : Rio de Janeiro,476838,Antonio,Unknown,Jacarepaguá,-22.97293,-43.38321,Private room,774,1,0,No_reviews,0.0,1,365,0,Unknown
72,89893.0,Exotic place in Rio de Janeiro.,483023,Geny,Unknown,Laranjeiras,-22.94124,-43.19214,Private room,465,1,0,No_reviews,0.0,1,365,0,Unknown
74,280625.0,"Fascinating Rio, on the hills!",496656,Marcia  Longras,Unknown,Botafogo,-22.94265,-43.18768,Private room,188,5,21,04/01/2020,0.17,9,365,0,Unknown
76,89981.0,IPANEMA  QUARTO + BANHEIRO PRIVADO,488707,Celia,Unknown,Ipanema,-22.98088,-43.20042,Private room,207,3,167,27/02/2020,1.31,1,2,0,Unknown
77,14069929.0,"quarto p/ duas pessoas nas olimpíada,amb. familiar",84500570,Marcela,Unknown,Campo Grande,-22.85436,-43.60355,Private room,300,1,0,No_reviews,0.0,1,87,0,Unknown
80,94895.0,Quarto em Copacabana - temporada,506187,Sheila,Unknown,Copacabana,-22.97256,-43.18948,Private room,150,1,8,01/03/2022,0.1,3,339,1,Unknown
86,97636.0,Rio de Janeiro for you! Go for it!,496656,Marcia  Longras,Unknown,Botafogo,-22.94169,-43.18703,Private room,388,8,18,15/12/2021,0.14,9,365,1,Unknown
87,98969.0,Quartos na praia mais linda do Rio,521613,Cyro,Unknown,Recreio dos Bandeirantes,-23.03154,-43.47437,Private room,91,2,14,18/06/2022,0.11,1,75,10,Unknown
88,46613950.0,"Quarto,  banheiro privativo.",323880480,Luciana,Unknown,Campo Grande,-22.82802,-43.59974,Private room,54,1,0,No_reviews,0.0,1,180,0,Unknown
89,286677.0,a ocean view quadruple room in copacabana,1429181,Samuel,Unknown,Copacabana,-22.96633,-43.17754,Private room,250,2,37,10/01/2022,0.29,8,263,4,Unknown
91,286788.0,triple ocean view room in copacaban,1429181,Samuel,Unknown,Copacabana,-22.96633,-43.17754,Private room,180,2,22,08/01/2022,0.17,8,270,3,Unknown
92,286792.0,triple ocean view room in copacaban,1429181,Samuel,Unknown,Copacabana,-22.96745,-43.17654,Private room,180,2,1,02/01/2019,0.02,8,265,0,Unknown
93,288732.0,"Room, en-suite bath-Leme-Copacabana",1355685,Jorge,Unknown,Leme,-22.96295,-43.1676,Private room,109,2,49,02/03/2017,0.39,2,162,0,Unknown
94,289898.0,double/twin ocean view room in copa,1429181,Samuel,Unknown,Copacabana,-22.96633,-43.17754,Private room,180,2,5,02/01/2022,0.07,8,257,1,Unknown
100,294292.0,"Copacabana, Cozy and Central",1309444,Sonia,Unknown,Copacabana,-22.96849,-43.18863,Private room,94,2,59,09/05/2022,0.47,3,72,16,Unknown
101,295683.0,Fresh n' Pendant-Botafogo,1526357,Antonio  ( Ton' ),Unknown,Botafogo,-22.94664,-43.18558,Private room,57,1,182,30/11/2019,1.43,1,0,0,Unknown
102,33331421.0,"Pousada e alojamento Fragoso, para empresas.",632609,Armando,Unknown,Santa Cruz,-22.87621,-43.76595,Private room,150,1,1,29/06/2019,0.03,1,88,0,Unknown
103,28237425.0,Praia da Moreninha/Térrea,192344699,Sirley,Unknown,Paquetá,-22.75782,-43.11076,Private room,300,2,0,No_reviews,0.0,1,80,0,Unknown
104,103053.0,santa teresa bairro fatima lapa,533278,Kaka,Unknown,Santo Cristo,-22.90559,-43.20979,Private room,361,1,0,No_reviews,0.0,1,0,0,Unknown
118,307714.0,SUITE IN IPANEMA RIO DE JANEIRO,1583161,Vanessa,Unknown,Ipanema,-22.98323,-43.1982,Private room,258,5,8,03/01/2018,0.06,1,89,0,Unknown
119,127018.0,Alugo quarto na Gávea com ar condicionado,629505,Eliane,Unknown,Gávea,-22.98114,-43.23899,Private room,110,2,5,09/08/2018,0.04,3,299,0,Unknown
122,128727.0,Double room in family house,622729,Geraldo & Shalluan,Unknown,Praça Seca,-22.895765,-43.353809,Private room,180,1,4,26/03/2017,0.03,2,181,0,Unknown
126,132114.0,beauty beedrom in Laranjeiras.,649320,Stella E Antonio,Unknown,Laranjeiras,-22.93707,-43.19071,Private room,105,1,8,30/04/2022,0.07,1,363,3,Unknown
130,132832.0,VISTA PRAIA COPA - Excelente Quarto,652627,Ana,Unknown,Copacabana,-22.98282,-43.18935,Private room,149,2,4,04/01/2019,0.05,4,0,0,Unknown
133,132909.0,QUARTO PRIVATIVO,652889,Fernando Patricio,Unknown,Maracanã,-22.91547,-43.22638,Private room,300,1,1,02/02/2016,0.01,1,365,0,Unknown
135,133221.0,The room has its own toilet.,6416134,Rosangela,Unknown,Santa Teresa,-22.91882,-43.17828,Private room,70,1,32,24/04/2022,0.29,2,354,2,Unknown
140,53383999.0,Quartos 4 e 3 em Copacabana,192170777,Catia,Unknown,Ipanema,-23.00049,-43.18474,Private room,350,2,0,No_reviews,0.0,6,54,0,Unknown
145,146402.0,Suite in a beautiful house-Lagoa/RJ,713797,Rosalia,Unknown,Humaitá,-22.96148,-43.20038,Private room,258,2,81,13/09/2020,0.65,2,355,0,Unknown
146,51508812.0,A CONCHEGO   DE ARARUAMA,359902349,Lucira,Unknown,Ipanema,-23.00072,-43.1846,Private room,260,3,0,No_reviews,0.0,1,365,0,Unknown
153,166861.0,Private Double room at Copacabana,454863,Dary,Unknown,Copacabana,-22.98413,-43.19235,Private room,272,3,13,01/03/2022,0.13,2,334,1,Unknown
155,316652.0,Everything u need + Breakfast!,1626226,Luiz,Unknown,Botafogo,-22.94471,-43.18421,Private room,139,3,97,09/03/2022,0.77,1,165,2,Unknown
160,170265.0,Quarto confortável na praia da Barra da Tijuca,811735,Ivana,Unknown,Barra da Tijuca,-23.0102,-43.37246,Private room,370,2,1,06/10/2019,0.03,2,360,0,Unknown
169,321637.0,NEW WORLD LODGINGS #Caledonia Room,1641925,Charles,Unknown,Botafogo,-22.94187,-43.18707,Private room,671,3,1,21/02/2012,0.01,3,365,0,Unknown
170,321648.0,NEW WORLD LODGINGS #Tirrik Room -RJ,1641925,Charles,Unknown,Botafogo,-22.94259,-43.18703,Private room,671,3,3,09/01/2015,0.03,3,365,0,Unknown
171,321802.0,Arte e vista em Santa Teresa- Rio,1572599,Marilia,Unknown,Santa Teresa,-22.92661,-43.19146,Private room,1000,2,22,13/11/2020,0.23,1,348,0,Unknown
174,178833.0,Penthouse #1! Best Internet! Veranda! Expat US-DE,856145,Mario,Unknown,Copacabana,-22.98026,-43.19109,Private room,199,7,113,23/04/2022,0.85,3,266,4,Unknown
177,323213.0,Quarto aconchegante em Ipanema.,1603013,Giane,Unknown,Ipanema,-22.98123,-43.19865,Private room,155,3,14,11/02/2022,0.14,2,352,1,Unknown
181,324541.0,NEW WORLD INDEPENDENT LODGINGS - RJ,1641925,Charles,Unknown,Botafogo,-22.94264,-43.18865,Private room,1807,3,6,09/11/2015,0.05,3,365,0,Unknown
182,324679.0,Rio from the hill!,496656,Marcia  Longras,Unknown,Botafogo,-22.94231,-43.18528,Private room,188,5,13,04/09/2018,0.12,9,364,0,Unknown
187,186604.0,Private room in downtown Rio,896919,Mauro,Unknown,Centro,-22.90544,-43.19471,Private room,620,3,0,No_reviews,0.0,1,365,0,Unknown
194,191955.0,bedroom suite,929229,Arlete,Unknown,Humaitá,-22.95644,-43.19992,Private room,164,5,2,03/01/2022,0.03,2,364,1,Unknown
198,193317.0,Bedroom Ipanema 1 block from beach,937397,Adriano,Unknown,Ipanema,-22.98467,-43.19714,Private room,108,3,185,26/05/2022,1.61,4,124,4,Unknown
200,34272379.0,Beautiful terrace facing the beach of Copacabana !,1537641,Gilles,Unknown,Copacabana,-22.97747,-43.1874,Private room,500,1,1,06/10/2019,0.03,10,362,0,Unknown
201,329615.0,Private room in big nice house,1416853,Maria,Unknown,Jardim Botânico,-22.96547,-43.23666,Private room,1033,1,0,No_reviews,0.0,1,365,0,Unknown
202,198646.0,COME SPEND THE BEST PLACE IN RIO!!!,969822,Lucia,Unknown,Marechal Hermes,-22.8607,-43.36681,Private room,126,1,6,26/11/2017,0.05,2,362,0,Unknown
203,330146.0,independent room within nature,1683850,Giselle & Jorge,Unknown,Recreio dos Bandeirantes,-23.02176,-43.51962,Private room,200,2,0,No_reviews,0.0,1,365,0,Unknown
205,198665.0,Comfort and safety on your trip,969899,Josevalda,Unknown,Jardim Botânico,-22.96055,-43.22285,Private room,465,3,6,16/08/2016,0.05,1,365,0,Unknown
206,331088.0,Leblon Beach /Gávea The Best placee,530231,Yaya,Unknown,Leblon,-22.9789,-43.22399,Private room,108,1,47,23/05/2022,0.37,5,351,2,Unknown
208,331199.0,BOTAFOGO BEACH | BUNKBED ROOM,1689028,Leo,Unknown,Botafogo,-22.94351,-43.18324,Private room,120,3,106,02/01/2020,0.85,2,351,0,Unknown
209,332150.0,"GREAT VIEW -Santa Teresa- GUESTHOUSE ""Casa 48""  #2",406989,Casa 48 Guesthouse,Unknown,Santa Teresa,-22.92879,-43.19474,Private room,170,1,69,05/01/2020,0.59,6,361,0,Unknown
210,332151.0,"GREAT VIEW -Guesthouse ""CASA 48""- Santa Teresa  #3",406989,Casa 48 Guesthouse,Unknown,Santa Teresa,-22.92691,-43.19309,Private room,170,1,35,23/01/2020,0.34,6,361,0,Unknown
211,201308.0,"Nice area,  safe,clean and central",984392,Mrs. Cindy,Unknown,Laranjeiras,-22.93595,-43.18791,Private room,774,3,2,12/02/2016,0.02,1,365,0,Unknown
213,337345.0,Gorgeous beachfront suitable bar,1714680,Katiuscia,Unknown,Barra da Tijuca,-23.01147,-43.36394,Private room,2577,1,0,No_reviews,0.0,1,365,0,Unknown
221,210173.0,"BEAUTIFUL! Spacious,all rooms",1030316,Elizabeth,Unknown,Copacabana,-22.98596,-43.19001,Private room,1576,2,3,03/10/2019,0.02,4,365,0,Unknown
226,215793.0,"BEAUTIFUL! Spacious,king room!",1030316,Elizabeth,Unknown,Copacabana,-22.98596,-43.19001,Private room,180,2,34,25/04/2022,0.26,4,197,4,Unknown
227,215878.0,"Beautiful! Spacious ,Queen Room !!!",1030316,Elizabeth,Unknown,Copacabana,-22.98596,-43.19001,Private room,235,2,30,25/02/2020,0.24,4,78,0,Unknown
228,215887.0,"BEAUTIFUL! Spacious,TWIN ROOM.",1030316,Elizabeth,Unknown,Copacabana,-22.98596,-43.19001,Private room,200,2,34,01/01/2022,0.26,4,347,2,Unknown
242,416290.0,"Great single room in Botafogo, RJ",1989397,Dominique,Unknown,Botafogo,-22.95411,-43.19469,Private room,200,2,10,28/02/2022,0.09,1,365,1,Unknown
245,346694.0,"Alugo quarto espaçoso ,com direitos",1612576,Jassanan,Unknown,Vila da Penha,-22.84208,-43.31572,Private room,335,1,0,No_reviews,0.0,1,362,0,Unknown
248,216461.0,Comfortable room in Flamengo / RIO,1154263,"Zeilma , Da",Unknown,Flamengo,-22.9399,-43.17676,Private room,774,1,0,No_reviews,0.0,1,365,0,Unknown
252,216700.0,Ótimo quarto perto Cristo Redentor,1118486,Moara,Unknown,Laranjeiras,-22.94373,-43.19147,Private room,300,4,20,02/01/2020,0.16,2,364,0,Unknown
253,424916.0,Room in the middle of Copacabana and Ipanema,2112725,Monica,Unknown,Copacabana,-22.98168,-43.19363,Private room,280,1,25,15/11/2021,0.25,4,160,1,Unknown
254,352718.0,"Copacabana, Posto 06,   Um quarto",1786148,Ricardo,Unknown,Copacabana,-22.98127,-43.19215,Private room,500,1,2,14/02/2013,0.02,1,365,0,Unknown
256,355075.0,Charmosa hospedagem!,1707318,Alessandro,Unknown,Flamengo,-22.93527,-43.17834,Private room,1033,1,0,No_reviews,0.0,1,365,0,Unknown
258,220377.0,Hosts in Rio Master room (double),1142424,Taciana,Unknown,Tijuca,-22.9288,-43.24046,Private room,220,1,4,06/04/2017,0.03,2,355,0,Unknown
259,220705.0,Comfortable room in quiet street,1144461,Rachel,Unknown,Copacabana,-22.98246,-43.19376,Private room,300,3,0,No_reviews,0.0,2,0,0,Unknown
262,358365.0,Rent a Room at the Ipanema Beach,1812201,Eliane,Unknown,Ipanema,-22.98563,-43.20032,Private room,1291,1,0,No_reviews,0.0,3,365,0,Unknown
283,440183.0,"Wonderfull Rio, on the hills!",496656,Marcia  Longras,Unknown,Laranjeiras,-22.93436,-43.19292,Private room,80,8,9,03/01/2020,0.1,9,232,0,Unknown
290,442509.0,Price per person Sugar Loaf Flamengo Beach,1693952,Katia,Unknown,Glória,-22.92114,-43.17481,Private room,106,3,88,29/04/2022,0.72,2,341,7,Unknown
291,444101.0,A Summer Place in Rio.,2206207,Guacira,Unknown,Botafogo,-22.94478,-43.18134,Private room,160,3,55,25/02/2020,0.45,1,353,0,Unknown
294,447602.0,Copacabana near subway and beach ★★★★★ - 3,2112725,Monica,Unknown,Copacabana,-22.98168,-43.19363,Private room,321,1,7,27/02/2020,0.06,4,142,0,Unknown
295,449040.0,SUITE / GARAGE - VIP AREA IN RIO,1726378,Maria,Unknown,Jardim Botânico,-22.95756,-43.20506,Private room,206,7,1,28/02/2016,0.01,1,364,0,Unknown
300,449177.0,"APARTMENT NEAR TO GO TO ""ROCK IN RIO""!!",2206708,Lilian E Cadu,Unknown,Vargem Pequena,-22.99124,-43.47979,Private room,309,5,1,28/04/2019,0.03,1,363,0,Unknown
301,449391.0,Penthouse #3! Best Internet! Veranda! Expat US-DE,856145,Mario,Unknown,Copacabana,-22.98115,-43.19109,Private room,98,5,33,11/06/2022,0.27,3,311,10,Unknown
