,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
2,52390579.0,"Casa en privada con  vigilancia, estacionamiento.",424060909,Maria Carmen Marta,Unknown,Cuajimalpa de Morelos,19.395126,-99.277374,Private room,752.0,1.0,0.0,No_reviews,0.0,1.0,365.0,0.0
6,15511977.0,La casa de Abraham,93364273,Abraham,Unknown,Miguel Hidalgo,19.41095,-99.24418,Private room,800.0,1.0,1.0,19/03/2018,0.02,1.0,179.0,0.0
7,34776449.0,â The attic â Panoramic garden 10 min CitiBanamex,2954577,Lazaro Alejandro,Unknown,Miguel Hidalgo,19.42641,-99.22591,Private room,1779.0,1.0,5.0,14/03/2022,0.14,4.0,222.0,1.0
8,45767104.0,BONITO DEPARTAMENTO NUEVO  LOMAS DE  TECAMACHALCO,371036285,Luis,Unknown,Miguel Hidalgo,19.41947,-99.24063,Private room,500.0,7.0,0.0,No_reviews,0.0,1.0,365.0,0.0
9,832805.0,ROOMS CASA INDIGO WITH TERRACE AT CITY CENTER,3777702,Abraham,Unknown,CuauhtÃ©moc,19.44262,-99.14566,Private room,444.0,1.0,125.0,26/01/2022,1.08,6.0,288.0,2.0
10,28466997.0,Casa de LulÃº,214885342,LulÃº,Unknown,Cuajimalpa de Morelos,19.39683,-99.27678,Private room,1000.0,1.0,2.0,02/12/2021,0.05,1.0,365.0,1.0
12,844818.0,Well located on calm neighborhood,4410326,Fernando,Unknown,Benito JuÃ¡rez,19.38336,-99.18197,Private room,460.0,2.0,8.0,24/11/2019,0.07,1.0,269.0,0.0
18,61792.0,Spacious Clean Quiet room (own bath) in la Condesa,299558,Roberto,Unknown,CuauhtÃ©moc,19.41083,-99.18057,Private room,1212.0,2.0,58.0,15/06/2022,1.03,1.0,159.0,6.0
29,131610.0,MARIA DEL ALMA,647454,Fernando,Unknown,CoyoacÃ¡n,19.35416,-99.16488,Private room,1379.0,1.0,0.0,No_reviews,0.0,3.0,88.0,0.0
34,171109.0,Cool room near WTC and Metrobus,816295,Carlos,Unknown,Benito JuÃ¡rez,19.39675,-99.17581,Private room,306.0,4.0,80.0,15/06/2022,0.79,2.0,361.0,7.0
37,1007174.0,Private en suite in City house,5540061,Julian,Unknown,CuauhtÃ©moc,19.43817,-99.15466,Private room,811.0,3.0,9.0,01/10/2017,0.08,1.0,364.0,0.0
38,2088218.0,Private rooms near old Coyoacan center,10659485,CÃ©cile,Unknown,CoyoacÃ¡n,19.34022,-99.15306,Private room,375.0,2.0,5.0,15/05/2018,0.05,1.0,261.0,0.0
39,2093036.0,Departamento 2 dormitorios x Antara,3083561,Federico,Unknown,Miguel Hidalgo,19.44178,-99.20202,Private room,3130.0,1.0,0.0,No_reviews,0.0,1.0,365.0,0.0
47,1013504.0,"OASIS IN COYOACAN, SHARED HOUSE",1664327,Edoardo,Unknown,CoyoacÃ¡n,19.34034,-99.18345,Private room,284.0,2.0,47.0,15/02/2021,0.45,2.0,331.0,0.0
51,1051636.0,Chilango chic: room in cozy apartment Condesa DF,1809694,Deborah,Unknown,CuauhtÃ©moc,19.40592,-99.1691,Private room,788.0,2.0,27.0,21/04/2022,0.25,1.0,325.0,4.0
54,1066945.0,"Villa Alfonsina, Heart of Coyoacan",5870021,HÃ©ctor,Unknown,CoyoacÃ¡n,19.35445,-99.16251,Private room,1200.0,1.0,144.0,14/02/2022,1.37,5.0,356.0,1.0
55,2127400.0,Stay like a local in Roma Norte,350668,Blair,Unknown,CuauhtÃ©moc,19.4191,-99.15904,Private room,1716.0,2.0,157.0,07/03/2022,1.53,1.0,172.0,2.0
56,1087636.0,Apartment at south of Mexico city,5975456,Pamela,Unknown,CoyoacÃ¡n,19.30523,-99.18356,Private room,450.0,1.0,28.0,10/06/2022,0.3,1.0,359.0,2.0
60,1107979.0,Bedroom for rent,6083480,Juan Carlos,Unknown,Iztapalapa,19.32227,-99.09046,Private room,277.0,1.0,1.0,25/02/2017,0.02,1.0,365.0,0.0
61,252618.0,"""Chavela"" Private & Furnished Room",1326107,Jacqueline,Unknown,CuauhtÃ©moc,19.41472,-99.15602,Private room,524.0,5.0,18.0,05/03/2022,0.14,4.0,144.0,2.0
