,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
56,23877869.0,Casa na Baixada tranquilidade e segurança,179055511,Rodrigo Manilha,Unknown,Pavuna,-22.78588,-43.36536,Shared room,41,2,1,22/02/2020,0.04,1,364,0,Unknown
61,19165176.0,Nosso lar,134027470,Leticia,Unknown,Pavuna,-22.8034,-43.38749,Shared room,258,2,0,No_reviews,0.0,1,90,0,Unknown
183,324827.0,duino`s house in Rio de Janeiro,1622624,Edwin,Unknown,Vargem Grande,-23.00075,-43.50841,Shared room,412,1,0,No_reviews,0.0,1,365,0,Unknown
610,912633.0,Come Excellent house near the Sambo,4897168,Taryhk,Unknown,Rio Comprido,-22.92466,-43.20748,Shared room,439,1,1,15/02/2013,0.01,1,365,0,Unknown
913,1802374.0,Apê no Campo com Vista do amanhecer,9449475,Maria,Unknown,Centro,-22.90982,-43.18831,Shared room,187,1,5,02/01/2022,0.12,9,90,1,Unknown
1116,1943837.0,cama na sala com privacidade  & aconchego,10054467,Zelair,Unknown,Copacabana,-22.98054,-43.19094,Shared room,52,1,153,28/05/2022,1.81,1,39,22,Unknown
1179,2228471.0,Room at Ipanema Beach,1812201,Eliane,Unknown,Ipanema,-22.9854,-43.19874,Shared room,500,1,0,No_reviews,0.0,3,365,0,Unknown
1240,2180474.0,Casa da Silvina,11120097,Silvina,Unknown,São Francisco Xavier,-22.89876,-43.2418,Shared room,215,1,4,06/09/2015,0.04,1,365,0,Unknown
1360,2342928.0,APARTAMENTO LAPA - RIO DE JANEIRO,11965048,Flávia,Unknown,Centro,-22.91236,-43.18198,Shared room,300,1,12,07/01/2020,0.12,1,364,0,Unknown
1444,2370137.0,Apto Bairro centro do RJ,10811037,Marcelo,Unknown,Centro,-22.89889,-43.18046,Shared room,286,1,0,No_reviews,0.0,1,365,0,Unknown
1472,2426124.0,quarto para 2 pessoas para carnaval,12400187,Adriana,Unknown,Barra da Tijuca,-23.00952,-43.29822,Shared room,700,4,0,No_reviews,0.0,1,365,0,Unknown
1481,2377289.0,Copacabana beach room,12144834,Felipe Levi,Unknown,Copacabana,-22.96091,-43.1756,Shared room,929,1,0,No_reviews,0.0,1,365,0,Unknown
1510,2386626.0,Cup Brazil 2014 - Rio de Janeiro,12191217,João,Unknown,Santa Cruz,-22.92145,-43.6827,Shared room,773,1,0,No_reviews,0.0,1,365,0,Unknown
1519,2440405.0,リオ日本人宿(シェアアパート)Zico,12474889,Shingo,Unknown,Centro,-22.90814,-43.18999,Shared room,45,10,4,24/02/2015,0.04,1,87,0,Unknown
1522,2392479.0,Available for female guests,12221400,Nany,Unknown,Marechal Hermes,-22.85467,-43.36386,Shared room,170,1,0,No_reviews,0.0,1,365,0,Unknown
1554,2451883.0,A must see! The World Cup is HERE!,12536628,Evandro,Unknown,Higienópolis,-22.87415,-43.26147,Shared room,380,3,0,No_reviews,0.0,3,365,0,Unknown
1606,2525622.0,Anticipate your next holiday!,9465134,Aline,Unknown,Botafogo,-22.95173,-43.17653,Shared room,1000,5,4,17/08/2016,0.04,2,365,0,Unknown
1768,2692420.0,"3 Rooms, besides Maracana Stadium",13779303,Sandra Julia,Unknown,Maracanã,-22.91489,-43.23105,Shared room,220,1,1,16/07/2014,0.01,1,365,0,Unknown
1781,2632907.0,"Studio in Maracanã, house 6 people",13461238,Antonio,Unknown,Maracanã,-22.91466,-43.23245,Shared room,650,5,0,No_reviews,0.0,2,365,0,Unknown
1974,2781668.0,QUARTO CONJUGADO PARA A OLIMPÍADA,12536628,Evandro,Unknown,Higienópolis,-22.8746,-43.26194,Shared room,440,3,0,No_reviews,0.0,3,365,0,Unknown
2059,2856527.0,Cozy and economic stay in Rio,14603505,Viviane,Unknown,Santa Teresa,-22.91859,-43.18833,Shared room,300,6,0,No_reviews,0.0,1,365,0,Unknown
2122,2994379.0,Quarto inteiro em casa na Floresta,15265502,Pâmela,Unknown,Alto da Boa Vista,-22.9653,-43.2767,Shared room,150,2,0,No_reviews,0.0,1,365,0,Unknown
2144,2950995.0,Quarto Comp. Catete Z.Sul Otima Loc,15064727,Joana Batista,Unknown,Catete,-22.92474,-43.17768,Shared room,114,8,0,No_reviews,0.0,1,365,0,Unknown
