,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
0,17878.0,"Very Nice 2Br in Copacabana w. balcony, fast WiFi",68997,Matthias,Unknown,Copacabana,-22.96599,-43.1794,Entire home/apt,350,5,272,23/04/2022,1.87,1,311,8,Unknown
1,5.56931e+17,Venha passar uma pernoite em um veleiro na Urca!,198206849,Andréia,Unknown,Urca,-22.94781,-43.16351,Private room,280,1,1,19/02/2022,0.25,1,365,1,Unknown
2,1174007.0,100% Best View In Copa In Suite 2,3962758,Thiago Luiz,Unknown,Copacabana,-22.97277,-43.17966,Private room,107,2,177,07/06/2022,1.69,6,357,29,Unknown
3,8410797.0,Ipanema(Arpoador) 100mdo Mar/ Jan & Carnaval +Fev,42038091,Sheila,Unknown,Ipanema,-22.98871,-43.19334,Private room,1000,3,1,28/09/2017,0.02,3,362,0,Unknown
4,28053241.0,Navegar a  Bordo de um Veleiro Francês no Rio!,193860988,Luciano,Unknown,Urca,-22.95056,-43.17175,Private room,1850,2,0,No_reviews,0.0,1,180,0,Unknown
5,249616.0,Flat at Barra Near by WINDSOR HOTEL,1307761,Malí,Unknown,Barra da Tijuca,-23.01097,-43.32266,Entire home/apt,195,3,220,20/04/2020,1.73,2,24,0,Unknown
6,249842.0,"Copacabana, central e perto da praia",1309444,Sonia,Unknown,Copacabana,-22.96794,-43.18969,Private room,90,2,140,08/04/2022,1.12,3,6,14,Unknown
7,24480.0,"Nice and cozy near Ipanema Beach, w/ home office",99249,Goya,Unknown,Ipanema,-22.98405,-43.20189,Entire home/apt,671,3,85,14/02/2018,0.59,1,281,0,Unknown
8,251701.0,LEBLON BEACHFRONT VILLA APT.2,1319991,Jake,Unknown,Vidigal,-22.99037,-43.23115,Entire home/apt,516,7,27,13/11/2019,0.21,11,365,0,Unknown
9,251868.0,Great & comfy studio Copa!,1321287,Helena,Unknown,Copacabana,-22.9792,-43.1901,Entire home/apt,120,4,85,01/03/2022,0.66,2,68,2,Unknown
10,32539051.0,APART-HOTEL VIEIRA SOUTO 510,66213641,Lucia,Unknown,Ipanema,-22.98737,-43.20967,Entire home/apt,1500,2,6,07/03/2022,0.15,1,364,3,Unknown
11,25026.0,Beautiful Modern Decorated Studio in Copa,102840,Viviane,Unknown,Copacabana,-22.97735,-43.19105,Entire home/apt,188,4,248,15/03/2022,1.69,1,133,10,Unknown
12,14883302.0,Flat no melhor local de Ipanema,30383865,Rafael,Unknown,Ipanema,-22.98745,-43.20388,Entire home/apt,950,3,4,09/07/2019,0.06,1,81,0,Unknown
13,256323.0,Garden Studio - Home away from Home,1348172,Jennifer,Unknown,Santa Teresa,-22.91742,-43.1833,Entire home/apt,169,3,203,30/05/2022,1.63,1,119,18,Unknown
14,35764.0,COPACABANA SEA BREEZE  -  RIO - 25  X Superhost,153691,Patricia Miranda & Paulo,Unknown,Copacabana,-22.98107,-43.19136,Entire home/apt,180,3,398,18/06/2022,2.79,1,53,37,Unknown
15,257618.0,"Great Dbl Bed/Pvt Bath, Leme, 1 min from the Sea",1355685,Jorge,Unknown,Leme,-22.96102,-43.16858,Private room,217,2,39,17/12/2018,0.31,2,241,0,Unknown
16,262466.0,APTO BOTAFOGO - BEM LOCALIZADO,1377161,Ana Cristina,Unknown,Botafogo,-22.95508,-43.18251,Entire home/apt,250,1,3,05/01/2016,0.03,1,89,0,Unknown
17,921262.0,Apartamento cobertura Copacabana,4952896,Mauricio,Unknown,Copacabana,-22.97165,-43.17551,Entire home/apt,170,3,262,02/05/2022,2.34,1,137,7,Unknown
